ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
947,Sabita Mahato,ICHAGARH,JMM,0,4 Crore+,10 Lac+,JHARKHAND,8th Pass
948,Sona Ram Sinku,JAGANATHPUR (ST),INC,0,21 Lac+,5 Lac+,JHARKHAND,8th Pass
949,Sita Murmu,JAMA (ST),JMM,3,4 Crore+,,JHARKHAND,12th Pass
950,Saryu Roy,JAMSHEDPUR EAST,IND,0,4 Crore+,,JHARKHAND,Post Graduate
951,Banna Gupta,JAMSHEDPUR WEST,INC,4,4 Crore+,41 Lac+,JHARKHAND,10th Pass
952,Irfan Ansari,JAMTARA,INC,5,2 Crore+,34 Lac+,JHARKHAND,Post Graduate
953,Kedar Hazra,JAMUA (SC),BJP,0,0,14 Lac+,JHARKHAND,Graduate
954,Badal,JARMUNDI,INC,0,34 Lac+,1 Lac+,JHARKHAND,12th Pass
955,Purnima Niraj Singh,JHARIA,INC,0,1 Crore+,,JHARKHAND,Post Graduate
956,Mangal Kalindi,JUGSALAI (SC),JMM,0,30 Thou+,,JHARKHAND,10th Pass
957,Sammari Lal,KANKE (SC),BJP,0,14 Lac+,,JHARKHAND,Post Graduate
958,Dashrath Gagrai,KHARSAWAN (ST),JMM,6,4 Crore+,20 Lac+,JHARKHAND,Graduate
959,Rajesh Kachhap,KHIJRI (ST),INC,0,2 Crore+,12 Lac+,JHARKHAND,Graduate
960,Nilkanth Singh Munda,KHUNTI (ST),BJP,0,4 Crore+,87 Lac+,JHARKHAND,Graduate
961,Dr.Neera Yadav,KODERMA,BJP,0,3 Crore+,53 Lac+,JHARKHAND,Doctorate
962,Naman Bixal Kongari,KOLEBIRA (ST),INC,2,46 Lac+,82 Thou+,JHARKHAND,Graduate Professional
963,Baidyanath Ram,LATEHAR (SC),JMM,0,0,3 Lac+,JHARKHAND,Graduate
964,Dinesh William Marandi,LITIPARA (ST),JMM,0,1 Crore+,12 Lac+,JHARKHAND,Graduate Professional
965,Rameshwar Oraon,LOHARDAGA (ST),INC,0,28 Crore+,18 Lac+,JHARKHAND,Doctorate
966,Haji Hussain Ansari,MADHUPUR,JMM,0,7 Crore+,,JHARKHAND,12th Pass
967,Deepika Pandey Singh,MAHAGAMA,INC,2,4 Crore+,78 Lac+,JHARKHAND,Graduate Professional
968,Stephen Marandi,MAHESHPUR (ST),JMM,0,4 Crore+,36 Lac+,JHARKHAND,Post Graduate
969,Niral Purty,MAJHGAON (ST),JMM,0,1 Crore+,,JHARKHAND,12th Pass
970,Bandhu Tirkey,MANDAR (ST),JVM(P),10,15 Lac+,9 Lac+,JHARKHAND,Graduate
971,Jai Prakash Bhai Patel,MANDU,BJP,2,3 Crore+,62 Lac+,JHARKHAND,Graduate
972,Ramchandra Singh,MANIKA (ST),INC,0,1 Crore+,27 Lac+,JHARKHAND,Graduate
973,Joba Majhi,MANOHARPUR (ST),JMM,0,0,4 Lac+,JHARKHAND,10th Pass
974,Rabindra Nath Mahato,NALA,JMM,0,71 Lac+,42 Thou+,JHARKHAND,Graduate Professional
975,Aparna Sengupta,NIRSA,BJP,1,46 Lac+,4 Lac+,JHARKHAND,10th Pass
976,Alamgir Alam,PAKUR,INC,0,7 Crore+,39 Lac+,JHARKHAND,Graduate
977,Kushwaha Shashi Bhushan Mehta,PANKI,BJP,11,27 Crore+,1 Crore+,JHARKHAND,Doctorate
978,Pradeep Yadav,POREYAHAT,JVM(P),14,1 Crore+,,JHARKHAND,Graduate
979,Sanjib Sardar,POTKA (ST),JMM,3,15 Lac+,,JHARKHAND,12th Pass
980,Anant Kumar Ojha,RAJMAHAL,BJP,0,59 Lac+,,JHARKHAND,Graduate
981,Mamta Devi,RAMGARH,INC,4,91 Lac+,9 Lac+,JHARKHAND,Graduate
982,Chandreshwar Prasad Singh,RANCHI,BJP,0,5 Crore+,70 Lac+,JHARKHAND,Graduate Professional
983,Randhir Kumar Singh,SARATH,BJP,3,0,19 Lac+,JHARKHAND,10th Pass
984,Champai Soren,SERAIKELLA (ST),JMM,1,2 Crore+,84 Lac+,JHARKHAND,10th Pass
985,Nalin Soren,SIKARIPARA (ST),JMM,2,2 Crore+,57 Lac+,JHARKHAND,12th Pass
986,Sudesh Kumar Mahto,SILLI,AJSU Party,1,18 Crore+,3 Crore+,JHARKHAND,Post Graduate
987,Kishun Kumar Das,SIMARIA (SC),BJP,1,3 Crore+,,JHARKHAND,Graduate
988,Bhushan Bara,SIMDEGA (ST),INC,2,38 Lac+,31 Lac+,JHARKHAND,Graduate
989,Indrajit Mahato,SINDRI,BJP,1,1 Crore+,,JHARKHAND,Graduate
990,Jiga Susaran Horo,SISAI (ST),JMM,1,57 Lac+,,JHARKHAND,10th Pass
991,Vikas Kumar Munda,TAMAR (ST),JMM,0,51 Lac+,19 Lac+,JHARKHAND,Graduate
992,Koche Munda,TORPA (ST),BJP,0,83 Lac+,7 Lac+,JHARKHAND,Post Graduate
993,Mathura Prasad Mahato,TUNDI,JMM,0,0,,JHARKHAND,10th Pass
994,Rajeev Sharma,AKHNOOR,BJP,0,2 Crore+,4 Lac+,JK,8th Pass
995,Syed Mohammad Altaf Bukhari,AMIRAKADAL,JKPDP,7,84 Crore+,22 Lac+,JK,Graduate
996,Mufti Mohd Syed,ANANTNAG,JKPDP,0,1 Crore+,5 Lac+,JK,Post Graduate
997,Aga Syed Ruhullah Mehdi,BADGAM,JKNC,0,3 Crore+,2 Crore+,JK,12th Pass
998,Usman Abdul Majid,BANDIPORA,INC,1,4 Crore+,14 Lac+,JK,Graduate
999,Jewan Lal,BANI,BJP,0,33 Lac+,,JK,Graduate
1000,Vikar Rassol Wani,BANIHAL,INC,0,94 Lac+,3 Lac+,JK,12th Pass
1001,Javid Hassan Baig,BARAMULLA,JKPDP,0,5 Crore+,7 Lac+,JK,Graduate
1002,Lal Singh,BASOHLI,BJP,0,85 Lac+,31 Lac+,JK,Graduate
1003,Noor Mohamad Sheikh,BATAMALOO,JKPDP,0,0,19 Lac+,JK,10th Pass
1004,Omar Abdullah,BEERWAH,JKNC,0,65 Lac+,,JK,Graduate
1005,Daleep Singh,BHADERWAH,BJP,0,75 Lac+,8 Lac+,JK,10th Pass
1006,Abdul Rehman Bhat,BIJBEHARA,JKPDP,0,1 Crore+,5 Lac+,JK,Graduate
1007,Dr. Nirmal Kumar Singh,BILLAWAR,BJP,0,1 Crore+,10 Lac+,JK,Doctorate
1008,Kamal Verma,BISHNAH,JKNC,0,1 Crore+,35 Lac+,JK,10th Pass
1009,Javaid Mustafa Mir,CHADOORA,JKPDP,0,6 Crore+,,JK,12th Pass
1010,Dina Nath,CHENANI (SC),BJP,0,69 Lac+,,JK,10th Pass
1011,Dr. Kirshan Lal,CHHAMB (SC),BJP,0,1 Crore+,,JK,Graduate Professional
1012,Ghulam Nabi Lone,CHRAR-I- SHARIEF,JKPDP,0,8 Lac+,2 Lac+,JK,Graduate Professional
1013,Ch Zulfkar Ali,DARHAL,JKPDP,0,0,19 Lac+,JK,Post Graduate
1014,Mohammad Amin Bhat,DEVSAR,INC,0,1 Crore+,9 Lac+,JK,10th Pass
1015,Shakti Parihar,DODA,BJP,0,4 Crore+,5 Lac+,JK,12th Pass
1016,Syed Farooq Ahmad Andrabi,DORU,JKPDP,0,2 Crore+,7 Lac+,JK,Graduate
1017,Ishfaq Ahmad,GANDERBAL,JKNC,0,2 Crore+,,JK,12th Pass
1018,Kavinder Gupta,GANDHINAGAR,BJP,0,2 Crore+,15 Lac+,JK,Graduate
1019,Ajaz Ahmed Khan,GOOL ARNAS,INC,0,1 Crore+,1 Lac+,JK,Graduate Professional
1020,Mumtaz Ahmed,GULABGARH,INC,0,59 Lac+,,JK,12th Pass
1021,Mohd Abbas Wani,GULMARG,JKPDP,0,1 Crore+,5 Lac+,JK,12th Pass
1022,Nazir Ahmad Khan Gurezi,GUREZ,JKNC,0,2 Crore+,5 Lac+,JK,Graduate
1023,Shamim Firdous,HABBAKADAL,JKNC,0,0,,JK,Graduate Professional
1024,Sajad Gani Lone,HANDWARA,J&K Peoples Conference,0,13 Crore+,12 Lac+,JK,Graduate
1025,Asiea,HAZRATBAL,JKPDP,1,4 Crore+,16 Lac+,JK,Graduate Professional
1026,Kuldeep Raj,HIRANAGAR (SC),BJP,0,6 Lac+,,JK,12th Pass
1027,Ab. Majeed Butt,HOME-SHALIBUGH,JKNC,0,7 Crore+,44 Lac+,JK,Graduate Professional
1028,Mubarak Ahmed Gul,IDGAH,JKNC,0,4 Crore+,1 Lac+,JK,Graduate
1029,Ghulam	Mohd. Saroori,INDERWAL,INC,0,3 Crore+,28 Lac+,JK,10th Pass
1030,Rajesh Gupta,JAMMU EAST,BJP,0,1 Crore+,7 Lac+,JK,Graduate
1031,Sat Paul Sharma,JAMMU WEST,BJP,0,1 Crore+,7 Lac+,JK,Graduate
1032,Abdul Ghani Kohli,KALAKOTE,BJP,0,2 Crore+,,JK,Graduate Professional
1033,Altaf Ahmad,KANGAN,JKNC,0,0,2 Lac+,JK,Graduate Professional
1034,Asgar Ali Karbalaie,KARGIL,INC,0,19 Lac+,,JK,10th Pass
1035,Raja Manzoor Ahmad Khan,KARNAH,JKPDP,0,72 Lac+,2 Lac+,JK,Graduate Professional
1036,Rajiv Jasrotia,KATHUA,BJP,0,1 Crore+,56 Lac+,JK,Graduate
1037,Hakeem Mohammad Yaseen Shah,KHANSAHIB,J & K People Democratic Front (Secular),0,5 Crore+,38 Thou+,JK,5th Pass
1038,Ali Mohd Sagar,KHANYAR,JKNC,0,2 Crore+,1 Lac+,JK,Post Graduate
1039,Sunil Kumar Sharma,KISHTWAR,BJP,0,1 Crore+,26 Lac+,JK,12th Pass
1040,Abdul Rahim Rather,KOKERNAG,JKPDP,0,8 Crore+,34 Lac+,JK,Graduate
1041,Mohamad Yousuf Tarigami,KULGAM,CPI(M),0,1 Crore+,1 Lac+,JK,12th Pass
1042,Bashir Ahmad Dar,KUPWARA,J&K Peoples Conference,0,16 Lac+,,JK,Graduate Professional
1043,Abdul Rashid Sheik,LANGATE,IND,0,0,8 Lac+,JK,Graduate
1044,Nawang Rigzin,LEH,INC,0,4 Crore+,12 Lac+,JK,Literate
1045,Abdul Haq Khan,LOLAB,JKPDP,0,1 Crore+,6 Lac+,JK,Graduate Professional
1046,Sukhnandan Kumar,MARH,BJP,0,1 Crore+,18 Lac+,JK,12th Pass
1047,Javed Ahmed Rana,MENDHAR,JKNC,0,2 Crore+,3 Lac+,JK,Graduate Professional
1048,Devender Singh Rana,NAGROTA,JKNC,0,24 Crore+,,JK,Graduate Professional
1049,Deldan Namgial,NOBRA,INC,0,17 Lac+,,JK,Graduate
1050,Ab Majeed Padder,NOORABAD,JKPDP,0,1 Crore+,,JK,8th Pass
1051,Ravinder Kumar,NOWSHARA,BJP,0,21 Thou+,,JK,Post Graduate
1052,Altaf Ahmad Wani,PAHALGAM,JKNC,0,3 Crore+,11 Lac+,JK,Graduate Professional
1053,Zahoor Ahmad Mir,PAMPORE,JKPDP,0,0,2 Lac+,JK,12th Pass
1054,Imran Raza Ansari,PATTAN,JKPDP,0,11 Crore+,,JK,Post Graduate
1055,Shah Mohd Tantray,POONCH HAVELI,JKPDP,0,10 Lac+,,JK,Graduate
1056,Mohd Khalil Bandh,PULWAMA,JKPDP,0,1 Crore+,14 Lac+,JK,10th Pass
1057,Dr. Gagan Bhagat,R S PURA (SC),BJP,0,39 Lac+,3 Lac+,JK,Graduate Professional
1058,Yawar Ahmad Mir,RAFIABAD,JKPDP,0,2 Lac+,,JK,Post Graduate
1059,Bali Bhagat,RAIPUR DOMANA (SC),BJP,0,1 Crore+,3 Lac+,JK,12th Pass
1060,Qamar Hussain,RAJOURI,JKPDP,0,1 Crore+,3 Lac+,JK,Graduate Professional
1061,Haseeb A Drabu,RAJPORA,JKPDP,0,11 Crore+,,JK,Post Graduate
1062,Neelam Kumar Lahgeh,RAMBAN (SC),BJP,0,45 Lac+,3 Lac+,JK,12th Pass
1063,Ranbir Singh Pathania,RAMNAGAR,BJP,0,0,,JK,Graduate Professional
1064,Ajay Nanda,REASI,BJP,0,1 Crore+,,JK,Graduate Professional
1065,Devinder Kumar Manyal,SAMBA (SC),BJP,0,7 Crore+,5 Lac+,JK,Graduate Professional
1066,Syed Basharat Ahmed Bukhari,SANGRAMA,JKPDP,0,2 Crore+,5 Lac+,JK,Graduate
1067,Gulzar Ahmad Wani,SHANGUS,INC,1,30 Lac+,,JK,Graduate
1068,Mohammad Yousuf Bhat,SHOPIAN,JKPDP,1,4 Crore+,8 Lac+,JK,Graduate Professional
1069,Mohammad Ashraf Mir,SONAWAR,JKPDP,0,8 Crore+,,JK,Post Graduate
1070,Mohd. Akbar Lone,SONAWARI,JKNC,0,7 Crore+,2 Lac+,JK,Graduate Professional
1071,Abdul Rashid Dar,SOPORE,INC,0,4 Crore+,5 Lac+,JK,8th Pass
1072,Sham Lal Choudhary,SUEHETGARH,BJP,0,1 Crore+,2 Lac+,JK,Graduate
1073,Ch Mohd Akram,SURANKOTE,INC,0,0,,JK,Graduate Professional
1074,Mushtaq Ahmad Shah,TRAL,JKPDP,0,2 Crore+,3 Lac+,JK,Post Graduate
1075,Pawan Kumar Gupta,UDHAMPUR,IND,0,6 Crore+,,JK,Graduate Professional
1076,Mohammed Shafi,URI,JKNC,0,3 Crore+,5 Lac+,JK,Graduate Professional
1077,Chander Parkash,VIJAYPUR,BJP,0,7 Crore+,1 Crore+,JK,10th Pass
1078,Aijaz Ahmad Mir,WACHI,JKPDP,0,3 Crore+,3 Lac+,JK,Graduate Professional
1079,Abid Hussain Ansari,ZADIBAL,JKPDP,0,27 Crore+,2 Crore+,JK,10th Pass
1080,Syed Mohammad Baqir Rizvi,ZANSKAR,IND,0,50 Lac+,,JK,Graduate
1081,Lokender Kumar,ANNI (SC),BJP,10,29 Lac+,45 Thou+,HIMACHALPRADESH,Post Graduate
1082,Sanjay,ARKI,INC,1,2 Crore+,23 Lac+,HIMACHALPRADESH,Graduate
1083,Kishori Lal,BAIJNATH (SC),INC,0,4 Crore+,5 Lac+,HIMACHALPRADESH,10th Pass
1084,Inder Singh,BALH (SC),BJP,0,3 Crore+,56 Lac+,HIMACHALPRADESH,10th Pass
1085,Surender Shourie,BANJAR,BJP,0,89 Lac+,35 Lac+,HIMACHALPRADESH,Graduate
1086,Inder Dutt Lakhanpal,BARSAR,INC,1,7 Crore+,2 Crore+,HIMACHALPRADESH,Graduate
1087,Dr. Janak Raj,BHARMOUR (ST),BJP,0,5 Crore+,81 Lac+,HIMACHALPRADESH,Post Graduate
1088,Kuldeep Singh Pathania,BHATTIYAT,INC,1,8 Crore+,15 Lac+,HIMACHALPRADESH,Graduate Professional
1089,Suresh Kumar,BHORANJ (SC),INC,0,71 Lac+,,HIMACHALPRADESH,Post Graduate
1090,Trilok Jamwal,BILASPUR,BJP,0,0,7 Lac+,HIMACHALPRADESH,Post Graduate
1091,Neeraj Nayar,CHAMBA,INC,1,8 Crore+,3 Crore+,HIMACHALPRADESH,Graduate
1092,Sudarshan Singh Babloo,CHINTPURNI (SC),INC,3,2 Crore+,10 Crore+,HIMACHALPRADESH,12th Pass
1093,Balbir Singh Verma,CHOPAL,BJP,0,128 Crore+,2 Crore+,HIMACHALPRADESH,12th Pass
1094,Hans Raj,CHURAH (SC),BJP,2,2 Crore+,36 Lac+,HIMACHALPRADESH,Doctorate
1095,Dhavinder Singh,DALHOUSIE,BJP,0,15 Crore+,74 Lac+,HIMACHALPRADESH,10th Pass
1096,Puran Chand,DARANG,BJP,0,1 Crore+,,HIMACHALPRADESH,10th Pass
1097,Hoshyar Singh,DEHRA,IND,0,5 Crore+,1 Crore+,HIMACHALPRADESH,12th Pass
1098,Chander Shekhar,DHARAMPUR,INC,1,45 Lac+,4 Lac+,HIMACHALPRADESH,Graduate Professional
1099,Sudhir Sharma,DHARAMSHALA,INC,0,8 Crore+,60 Lac+,HIMACHALPRADESH,Graduate
1100,Ram Kumar,DOON,INC,1,0,8 Crore+,HIMACHALPRADESH,Post Graduate
1101,Bhawani Singh Pathania,FATEHPUR,INC,0,18 Crore+,3 Crore+,HIMACHALPRADESH,Graduate Professional
1102,Chaitanya Sharma,GAGRET,INC,0,8 Crore+,52 Lac+,HIMACHALPRADESH,Graduate Professional
1103,Rajesh Dharmani,GHUMARWIN,INC,1,1 Crore+,3 Lac+,HIMACHALPRADESH,Post Graduate
1104,Ashish Sharma,HAMIRPUR,IND,0,13 Crore+,48 Lac+,HIMACHALPRADESH,Graduate Professional
1105,Mukesh Agnihotri,HAROLI,INC,5,5 Crore+,49 Lac+,HIMACHALPRADESH,Post Graduate
1106,Malender Rajan,INDORA (SC),INC,0,1 Crore+,,HIMACHALPRADESH,Graduate Professional
1107,Yadvinder Goma,JAISINGHPUR (SC),INC,0,2 Crore+,65 Lac+,HIMACHALPRADESH,Post Graduate
1108,Bikram Singh,JASWAN-PRAGPUR,BJP,0,2 Crore+,54 Lac+,HIMACHALPRADESH,Graduate Professional
1109,Sanjay Rattan,JAWALAMUKHI,INC,0,4 Crore+,32 Lac+,HIMACHALPRADESH,Post Graduate
1110,Chander Kumar,JAWALI,INC,0,0,28 Lac+,HIMACHALPRADESH,Post Graduate
1111,Jeet Ram Katwal,JHANDUTA (SC),BJP,1,3 Crore+,19 Lac+,HIMACHALPRADESH,Post Graduate
1112,Prakash Prem Kumar,JOGINDERNAGAR,BJP,0,25 Crore+,,HIMACHALPRADESH,10th Pass
1113,Rohit Thakur,JUBBAL-KOTKHAI,INC,0,10 Crore+,26 Lac+,HIMACHALPRADESH,Graduate
1114,Pawan Kumar Kajal,KANGRA,BJP,0,13 Crore+,25 Lac+,HIMACHALPRADESH,10th Pass
1115,Deep Raj,KARSOG (SC),BJP,0,1 Crore+,15 Lac+,HIMACHALPRADESH,Graduate Professional
1116,Vinod Sultanpuri,KASAULI (SC),INC,0,5 Crore+,32 Lac+,HIMACHALPRADESH,Graduate
1117,Anirudh Singh,KASUMPTI,INC,4,10 Crore+,6 Crore+,HIMACHALPRADESH,Graduate
1118,Jagat Singh Negi,KINNAUR (ST),INC,1,3 Crore+,32 Lac+,HIMACHALPRADESH,Graduate Professional
1119,Sunder Singh Thakur,KULLU,INC,1,24 Crore+,2 Crore+,HIMACHALPRADESH,Graduate Professional
1120,Davinder Kumar,KUTLEHAR,INC,0,0,4 Crore+,HIMACHALPRADESH,12th Pass
1121,Ravi Thakur,LAHAUL AND SPITI (ST),INC,0,12 Crore+,4 Crore+,HIMACHALPRADESH,Graduate
1122,Bhuvneshwar Gaur,MANALI,INC,3,24 Crore+,,HIMACHALPRADESH,Graduate
1123,Anil Sharma,MANDI,BJP,0,57 Crore+,68 Lac+,HIMACHALPRADESH,Graduate
1124,Vinod Kumar,NACHAN (SC),BJP,0,2 Crore+,27 Lac+,HIMACHALPRADESH,12th Pass
1125,Sukhvinder Singh,NADAUN,INC,4,7 Crore+,22 Lac+,HIMACHALPRADESH,Post Graduate
1126,R.S. Bali,NAGROTA,INC,3,92 Crore+,6 Crore+,HIMACHALPRADESH,Graduate Professional
1127,Ajay Solanki,NAHAN,INC,2,1 Crore+,,HIMACHALPRADESH,12th Pass
1128,K. L. Thakur,NALAGARH,IND,0,2 Crore+,1 Crore+,HIMACHALPRADESH,Graduate Professional
1129,Ranbir Singh,NURPUR,BJP,1,15 Crore+,30 Lac+,HIMACHALPRADESH,10th Pass
1130,Reena,PACHHAD (SC),BJP,0,0,42 Lac+,HIMACHALPRADESH,Post Graduate
1131,Ashish Butail,PALAMPUR,INC,0,30 Crore+,7 Crore+,HIMACHALPRADESH,Graduate
1132,Sukh Ram,PAONTA SAHIB,BJP,0,2 Crore+,85 Lac+,HIMACHALPRADESH,12th Pass
1133,Nand Lal,RAMPUR (SC),INC,4,2 Crore+,14 Lac+,HIMACHALPRADESH,Post Graduate
1134,Mohan Lal Brakta,ROHRU (SC),INC,3,2 Crore+,17 Lac+,HIMACHALPRADESH,Graduate Professional
1135,Dalip Thakur,SARKAGHAT,BJP,0,66 Lac+,,HIMACHALPRADESH,10th Pass
1136,Jai Ram Thakur,SERAJ,BJP,0,6 Crore+,26 Lac+,HIMACHALPRADESH,Graduate
1137,Kewal Singh,SHAHPUR,INC,0,3 Crore+,10 Lac+,HIMACHALPRADESH,Post Graduate
1138,Harshwardhan Chauhan,SHILLAI,INC,1,13 Crore+,45 Lac+,HIMACHALPRADESH,Graduate Professional
1139,Harish Janartha,SHIMLA,INC,1,4 Crore+,30 Lac+,HIMACHALPRADESH,Graduate
1140,Vikramaditya Singh,SHIMLA RURAL,INC,11,0,1 Crore+,HIMACHALPRADESH,Post Graduate
1141,Dhani Ram Shandil,SOLAN (SC),INC,1,4 Crore+,49 Lac+,HIMACHALPRADESH,Doctorate
1142,Randhir Sharma,SRI NAINA DEVIJI,BJP,0,5 Crore+,12 Lac+,HIMACHALPRADESH,Post Graduate
1143,Vinay Kumar,SRI RENUKAJI (SC),INC,0,8 Crore+,1 Crore+,HIMACHALPRADESH,10th Pass
1144,Rajinder Singh,SUJANPUR,INC,0,31 Crore+,37 Lac+,HIMACHALPRADESH,Graduate
1145,Vipin Singh Parmar,SULLAH,BJP,0,5 Crore+,48 Lac+,HIMACHALPRADESH,Graduate Professional
1146,Rakesh Kumar,SUNDERNAGAR,BJP,0,3 Crore+,44 Lac+,HIMACHALPRADESH,Graduate
1147,Kuldeep Singh Rathore,THEOG,INC,8,4 Crore+,,HIMACHALPRADESH,Post Graduate
1148,Satpal Singh Satti,UNA,BJP,1,2 Crore+,5 Lac+,HIMACHALPRADESH,Post Graduate
1149,Kuldeep Bishnoi,ADAMPUR,INC,0,105 Crore+,10 Crore+,HARYANA,Graduate
1150,Anil Vij,AMBALA CANTT,BJP,0,1 Crore+,13 Lac+,HARYANA,Graduate
1151,Aseem Goel,AMBALA CITY,BJP,0,5 Crore+,38 Lac+,HARYANA,Graduate
1152,Shamsher Singh Gogi,ASSANDH,INC,0,12 Crore+,1 Crore+,HARYANA,Graduate Professional
1153,Sitaram,ATELI,BJP,0,3 Crore+,21 Lac+,HARYANA,10th Pass
1154,Seema Trikha,BADHKAL,BJP,0,2 Crore+,18 Lac+,HARYANA,Graduate Professional
1155,Naina Singh,BADHRA,Jannayak Janta Party,0,91 Crore+,4 Crore+,HARYANA,Graduate
1156,Kuldeep Vats,BADLI,INC,0,4 Crore+,26 Lac+,HARYANA,10th Pass
1157,Rakesh Janghu (Rakesh Daultabad),BADSHAHPUR,IND,1,66 Crore+,19 Crore+,HARYANA,10th Pass
1158,Rajinder Singh Joon,BAHADURGARH,INC,0,0,10 Lac+,HARYANA,Graduate
1159,Mool Chand Sharma,BALLABGARH,BJP,0,12 Crore+,47 Lac+,HARYANA,Post Graduate
1160,Sri Krishan Hooda,BARODA,INC,0,24 Crore+,1 Crore+,HARYANA,8th Pass
1161,Jogi Ram Sihag,BARWALA,Jannayak Janta Party,0,24 Crore+,70 Lac+,HARYANA,12th Pass
1162,Dr. Banwari Lal,BAWAL (SC),BJP,0,2 Crore+,10 Lac+,HARYANA,Graduate Professional
1163,Bishamber Singh,BAWANI KHERA (SC),BJP,0,1 Crore+,27 Lac+,HARYANA,Graduate
1164,Dr. Raghuvir Singh Kadian,BERI,INC,0,16 Crore+,1 Crore+,HARYANA,Doctorate
1165,Ghanshyam Saraf,BHIWANI,BJP,0,8 Crore+,1 Crore+,HARYANA,Graduate
1166,Amit Sihag,DABWALI,INC,0,10 Crore+,9 Lac+,HARYANA,Graduate Professional
1167,Sombir,DADRI,IND,10,1 Crore+,,HARYANA,10th Pass
1168,Abhay Singh Chautala,ELLENABAD,INLD,2,0,73 Lac+,HARYANA,10th Pass
1169,Narender Gupta,FARIDABAD,BJP,0,58 Crore+,1 Crore+,HARYANA,Graduate
1170,Neeraj Sharma,FARIDABAD NIT,INC,0,10 Crore+,1 Crore+,HARYANA,Graduate
1171,Dura Ram,FATEHABAD,BJP,0,17 Crore+,79 Lac+,HARYANA,10th Pass
1172,Mamman Khan,FEROZEPUR JHIRKA,INC,1,5 Crore+,9 Lac+,HARYANA,Graduate Professional
1173,Nirmal Rani,GANAUR,BJP,1,88 Crore+,16 Lac+,HARYANA,Post Graduate
1174,Bhupinder Singh Hooda,GARHI SAMPLA-KILOI,INC,7,15 Crore+,13 Lac+,HARYANA,Graduate Professional
1175,Harvinder Kalyan,GHARAUNDA,BJP,0,1 Crore+,18 Lac+,HARYANA,Graduate Professional
1176,Jagbir Singh Malik,GOHANA,INC,0,5 Crore+,27 Lac+,HARYANA,Graduate Professional
1177,Ishwar Singh,GUHLA (SC),Jannayak Janta Party,0,2 Crore+,83 Lac+,HARYANA,Post Graduate
1178,Sudhir Singla,GURGAON,BJP,0,0,,HARYANA,Graduate Professional
1179,Vinod Bhayana,HANSI,BJP,1,3 Crore+,49 Lac+,HARYANA,Graduate
1180,Praveen Dagar,HATHIN,BJP,0,57 Lac+,,HARYANA,Graduate
1181,Dr. Kamal Gupta,HISAR,BJP,0,3 Crore+,61 Lac+,HARYANA,Post Graduate
1182,Jagdish Nayar,HODAL (SC),BJP,0,2 Crore+,11 Lac+,HARYANA,12th Pass
1183,Ram Kumar,INDRI,BJP,0,2 Crore+,17 Lac+,HARYANA,Post Graduate
1184,Balbir Singh,ISRANA (SC),INC,0,40 Lac+,,HARYANA,12th Pass
1185,Kanwar Pal,JAGADHARI,BJP,0,4 Crore+,40 Lac+,HARYANA,12th Pass
1186,Geeta Bhukkal,JHAJJAR (SC),INC,0,6 Crore+,1 Crore+,HARYANA,Post Graduate
1187,Dr. Krishan Lal Middha,JIND,BJP,0,2 Crore+,25 Lac+,HARYANA,Graduate Professional
1188,Amarjeet Dhanda,JULANA,Jannayak Janta Party,0,0,1 Crore+,HARYANA,12th Pass
1189,Leela Ram,KAITHAL,BJP,0,4 Crore+,59 Lac+,HARYANA,Post Graduate
1190,Shakuntla Khatak,KALANAUR (SC),INC,0,3 Crore+,32 Lac+,HARYANA,Graduate
1191,Shishpal Singh,KALANWALI (SC),INC,0,83 Lac+,50 Thou+,HARYANA,Post Graduate
1192,Kamlesh Dhanda,KALAYAT,BJP,0,2 Crore+,3 Lac+,HARYANA,12th Pass
1193,Pardeep Chaudhary,KALKA,INC,1,15 Crore+,91 Lac+,HARYANA,Graduate
1194,Manohar Lal,KARNAL,BJP,0,1 Crore+,,HARYANA,Graduate
1195,Jaiveer Singh,KHARKHODA (SC),INC,0,1 Crore+,,HARYANA,10th Pass
1196,Laxman Singh Yadav,KOSLI,BJP,0,3 Crore+,57 Lac+,HARYANA,10th Pass
1197,Mewa Singh,LADWA,INC,0,4 Crore+,23 Lac+,HARYANA,Graduate
1198,Jai Parkash Dalal,LOHARU,BJP,0,0,6 Crore+,HARYANA,Graduate
1199,Rao Dan Singh,MAHENDRAGARH,INC,1,15 Crore+,24 Lac+,HARYANA,Post Graduate
1200,Balraj Kundu,MEHEM,IND,1,141 Crore+,8 Crore+,HARYANA,Graduate
1201,Varun Chaudhary,MULLANA (SC),INC,0,6 Crore+,53 Lac+,HARYANA,Graduate Professional
1202,Ranbir Gangwa,NALWA,BJP,0,9 Crore+,76 Lac+,HARYANA,12th Pass
1203,Dr. Abhe Singh Yadav,NANGAL CHAUDHRY,BJP,0,9 Crore+,8 Lac+,HARYANA,Doctorate
1204,Shalley,NARAINGARH,INC,0,53 Crore+,8 Lac+,HARYANA,8th Pass
1205,Om Prakash Yadav,NARNAUL,BJP,0,1 Crore+,62 Lac+,HARYANA,Graduate
1206,Ram Kumar Gautam,NARNAUND,Jannayak Janta Party,0,6 Crore+,,HARYANA,Graduate Professional
1207,Ram Niwas,NARWANA (SC),Jannayak Janta Party,0,8 Crore+,,HARYANA,Graduate
